Manufacturer,Model,Variant,TOTAL,2005,2004,2003,2002,2001,2000,1999,1998,TOTAL,1997,1996,1995,1994,1993,1992,1991,Pre-1991,Umbral,
Min_Smin_Vauxhall,Corsa,SRI,228,6,10,7,7,7,0,0,0,228,0,0,28,98,65,0,0,0,Si,
Min_Smin_Vauxhall,Corsa,Other,2852,197,388,321,351,292,153,190,107,2852,155,157,239,226,76,0,0,0,Si,
Min_Smin_Vauxhall,Nova,Merit,1382,0,0,0,0,0,0,0,0,1382,0,0,0,0,118,303,266,695,Si,
Min_Smin_Vauxhall,Nova,SR,174,0,0,0,0,0,0,0,0,174,0,0,0,0,0,27,56,91,Si,
Min_Smin_Vauxhall,Nova,SR I,32,0,0,0,0,0,0,0,0,32,0,0,0,0,11,21,0,0,No,
Min_Smin_Vauxhall,Nova,SX,50,0,0,0,0,0,0,0,0,50,0,0,0,0,16,34,0,0,No,
Min_Smin_Vauxhall,Nova,Other& S,1904,0,0,0,0,0,0,0,0,1904,0,0,0,7,162,485,357,893,Si,
Min_Smin_Volkswagen,Beetle,All,302,9,33,42,31,38,57,8,0,302,0,0,0,2,0,3,0,79,Si,
Min_Smin_Volkswagen,Lupo,All,92,2,3,12,12,27,17,19,0,92,0,0,0,0,0,0,0,0,Si,
Min_Smin_Volkswagen,Polo,C,294,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,294,Si,
Min_Smin_Volkswagen,Polo,CL& CX,710,0,0,0,0,0,7,87,63,710,92,72,36,28,51,57,114,103,Si,
Min_Smin_Volkswagen,Polo,E,201,20,18,37,33,47,46,0,0,201,0,0,0,0,0,0,0,0,Si,
Min_Smin_Volkswagen,Polo,GL,44,0,0,0,0,0,0,2,10,44,8,6,6,2,0,0,0,10,No,
Min_Smin_Volkswagen,Polo,GLX,13,0,0,0,0,0,0,0,0,13,0,2,11,0,0,0,0,0,No,
Min_Smin_Volkswagen,Polo,GTI,21,0,0,0,0,4,17,0,0,21,0,0,0,0,0,0,0,0,No,
Min_Smin_Volkswagen,Polo,L& LS& LX,388,0,0,0,0,2,6,61,84,388,80,85,66,4,0,0,0,0,Si,
Min_Smin_Volkswagen,Polo,S,179,8,15,34,49,25,48,0,0,179,0,0,0,0,0,0,0,0,Si,
Min_Smin_Volkswagen,Polo,SE,117,3,3,17,10,27,30,0,0,117,2,25,0,0,0,0,0,0,Si,
Min_Smin_Volkswagen,Polo,Other,647,19,108,24,2,65,18,11,10,647,16,0,4,43,49,32,33,213,Si,
Sm_Sal_Alfa Romeo,147,All,91,10,6,13,29,33,0,0,0,91,0,0,0,0,0,0,0,0,Si,
Sm_Sal_Alfa Romeo,33& 145& 146& 1750& Arna,All,72,0,0,1,0,0,8,8,10,72,12,16,11,0,0,0,2,4,No,
Sm_Sal_Audi,A3,All,612,78,117,53,36,72,51,67,90,612,46,2,0,0,0,0,0,0,Si,
Sm_Sal_Austin/Morris,1100& 1300& Cowley& Oxford,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
Sm_Sal_Austin/Morris,Allegro& Ital,All,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,No,
Sm_Sal_Austin/Morris,Maestro,L& LE,85,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,85,Si,
Sm_Sal_Austin/Morris,Maestro,Other& HL& HLE& HLS& MG,113,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,113,Si,
Sm_Sal_Austin/Morris,Marina& Maxi,All,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,No,
Sm_Sal_BMW,1 Series,All,61,48,13,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,No,
Sm_Sal_Chevrolet,Lacetti,All,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,
Sm_Sal_Chevrolet,Tacuma,All,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,
Sm_Sal_Citroen,C4,All,22,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,No,
